Date,Time,Zone,Device,PPM,VOC
12/04/2021,01:55,Zone1,T1,495,14
12/04/2021,01:55,Zone1,T2,435,5
12/04/2021,01:55,Zone2,T1,543,21
12/04/2021,01:55,Zone2,T2,422,3
12/04/2021,01:56,Zone1,T1,428,4
12/04/2021,01:56,Zone1,T2,442,6
12/04/2021,01:57,Zone1,T1,497,14
12/04/2021,01:57,Zone1,T2,426,3
12/04/2021,01:57,Zone2,T1,542,21
12/04/2021,01:57,Zone2,T2,444,6
12/04/2021,01:58,Zone1,T1,450,7
12/04/2021,01:58,Zone1,T2,433,5
12/04/2021,01:58,Zone2,T1,569,25
12/04/2021,01:58,Zone2,T2,475,11
12/04/2021,01:59,Zone1,T1,447,7
12/04/2021,01:59,Zone1,T2,414,2
12/04/2021,01:59,Zone2,T1,459,8
12/04/2021,01:59,Zone2,T2,522,18
12/04/2021,02:00,Zone1,T1,476,11
12/04/2021,02:00,Zone1,T2,418,2
12/04/2021,02:00,Zone2,T1,570,25
12/04/2021,02:00,Zone2,T2,432,4
12/04/2021,02:01,Zone1,T1,455,8
12/04/2021,02:01,Zone1,T2,428,4
12/04/2021,02:01,Zone2,T1,527,19
12/04/2021,02:01,Zone2,T2,473,11
12/04/2021,02:02,Zone1,T1,451,7
12/04/2021,02:02,Zone1,T2,450,7
12/04/2021,02:03,Zone1,T1,487,13
12/04/2021,02:03,Zone1,T2,422,3
12/04/2021,02:03,Zone2,T1,485,12
12/04/2021,02:03,Zone2,T2,403,0
12/04/2021,02:04,Zone1,T1,482,12
12/04/2021,02:04,Zone1,T2,448,7
12/04/2021,02:04,Zone2,T1,505,15
12/04/2021,02:04,Zone2,T2,428,4
12/04/2021,02:05,Zone1,T1,415,2
12/04/2021,02:05,Zone1,T2,423,3
12/04/2021,02:05,Zone2,T1,536,20
12/04/2021,02:05,Zone2,T2,478,11
12/04/2021,02:06,Zone1,T1,460,9
12/04/2021,02:06,Zone1,T2,422,3
12/04/2021,02:06,Zone2,T1,514,17
12/04/2021,02:06,Zone2,T2,413,1
12/04/2021,02:07,Zone1,T1,464,9
12/04/2021,02:07,Zone1,T2,423,3
12/04/2021,02:08,Zone1,T1,405,0
12/04/2021,02:08,Zone1,T2,470,10
12/04/2021,02:08,Zone2,T1,448,7
12/04/2021,02:08,Zone2,T2,495,14
12/04/2021,02:09,Zone1,T1,445,6
12/04/2021,02:09,Zone1,T2,480,12
12/04/2021,02:09,Zone2,T1,565,25
12/04/2021,02:09,Zone2,T2,470,10
12/04/2021,02:10,Zone1,T1,450,7
12/04/2021,02:10,Zone1,T2,470,10
12/04/2021,02:10,Zone2,T1,553,23
12/04/2021,02:10,Zone2,T2,462,9
12/04/2021,02:11,Zone1,T1,423,3
12/04/2021,02:11,Zone1,T2,433,5
12/04/2021,02:11,Zone2,T1,530,19
12/04/2021,02:11,Zone2,T2,400,0
12/04/2021,02:12,Zone1,T1,445,6
12/04/2021,02:12,Zone1,T2,551,23
12/04/2021,02:13,Zone1,T1,455,8
12/04/2021,02:13,Zone1,T2,518,17
12/04/2021,02:14,Zone1,T1,423,3
12/04/2021,02:14,Zone1,T2,492,14
12/04/2021,02:14,Zone2,T1,477,11
12/04/2021,02:14,Zone2,T2,518,17
12/04/2021,02:15,Zone1,T1,446,7
12/04/2021,02:15,Zone1,T2,519,18
12/04/2021,02:15,Zone2,T1,536,20
12/04/2021,02:15,Zone2,T2,487,13
12/04/2021,02:16,Zone1,T1,444,6
12/04/2021,02:16,Zone1,T2,475,11
12/04/2021,02:16,Zone2,T1,473,11
12/04/2021,02:16,Zone2,T2,402,0
12/04/2021,02:17,Zone1,T1,420,3
12/04/2021,02:17,Zone1,T2,523,18
12/04/2021,02:17,Zone2,T1,508,16
12/04/2021,02:17,Zone2,T2,472,10
12/04/2021,02:18,Zone1,T1,450,7
12/04/2021,02:18,Zone1,T2,501,15
12/04/2021,02:18,Zone2,T1,476,11
12/04/2021,02:18,Zone2,T2,481,12
12/04/2021,02:19,Zone1,T1,460,9
12/04/2021,02:19,Zone1,T2,529,19
12/04/2021,02:19,Zone2,T1,560,24
12/04/2021,02:19,Zone2,T2,448,7
12/04/2021,02:20,Zone1,T1,1288,135
12/04/2021,02:20,Zone1,T2,631,35
12/04/2021,02:20,Zone2,T1,543,21
12/04/2021,02:20,Zone2,T2,483,12
12/04/2021,02:21,Zone1,T1,1914,605
12/04/2021,02:21,Zone1,T2,1559,212
12/04/2021,02:21,Zone2,T1,534,20
12/04/2021,02:21,Zone2,T2,417,2
12/04/2021,02:22,Zone1,T1,1524,187
12/04/2021,02:22,Zone1,T2,1245,128
12/04/2021,02:22,Zone2,T1,492,14
12/04/2021,02:22,Zone2,T2,400,0
12/04/2021,02:23,Zone1,T1,1621,265
12/04/2021,02:23,Zone1,T2,1385,150
12/04/2021,02:24,Zone1,T1,1681,320
12/04/2021,02:24,Zone1,T2,1503,174
12/04/2021,02:25,Zone1,T1,1543,202
12/04/2021,02:25,Zone1,T2,1235,127
12/04/2021,02:25,Zone2,T1,461,9
12/04/2021,02:25,Zone2,T2,564,24
12/04/2021,02:26,Zone1,T1,1074,102
12/04/2021,02:26,Zone1,T2,961,85
12/04/2021,02:26,Zone2,T1,451,7
12/04/2021,02:26,Zone2,T2,461,9
12/04/2021,02:27,Zone1,T1,874,72
12/04/2021,02:27,Zone1,T2,848,68
12/04/2021,02:27,Zone2,T1,527,19
12/04/2021,02:27,Zone2,T2,455,8
12/04/2021,02:28,Zone1,T1,772,56
12/04/2021,02:28,Zone1,T2,748,53
12/04/2021,02:28,Zone2,T1,529,19
12/04/2021,02:28,Zone2,T2,436,5
12/04/2021,02:29,Zone1,T1,733,50
12/04/2021,02:29,Zone1,T2,752,53
12/04/2021,02:30,Zone1,T1,672,41
12/04/2021,02:30,Zone1,T2,657,39
12/04/2021,02:30,Zone2,T1,518,17
12/04/2021,02:30,Zone2,T2,483,12
12/04/2021,02:31,Zone1,T1,712,47
12/04/2021,02:31,Zone1,T2,712,47
12/04/2021,02:31,Zone2,T1,505,15
12/04/2021,02:31,Zone2,T2,496,14
12/04/2021,02:32,Zone1,T1,686,43
12/04/2021,02:32,Zone1,T2,656,39
12/04/2021,02:32,Zone2,T1,505,15
12/04/2021,02:32,Zone2,T2,486,13
12/04/2021,02:34,Zone1,T1,1498,170
12/04/2021,02:34,Zone1,T2,885,73
12/04/2021,02:34,Zone2,T1,500,15
12/04/2021,02:34,Zone2,T2,434,5
12/04/2021,02:35,Zone1,T1,1504,174
12/04/2021,02:35,Zone1,T2,1074,102
12/04/2021,02:35,Zone2,T1,519,18
12/04/2021,02:35,Zone2,T2,444,6
12/04/2021,02:37,Zone1,T1,1012,93
12/04/2021,02:37,Zone1,T2,870,71
12/04/2021,02:37,Zone2,T1,483,12
12/04/2021,02:37,Zone2,T2,505,15
12/04/2021,02:38,Zone1,T1,1562,216
12/04/2021,02:38,Zone1,T2,1207,122
12/04/2021,02:38,Zone2,T1,483,12
12/04/2021,02:38,Zone2,T2,422,3
12/04/2021,02:39,Zone1,T1,1090,105
12/04/2021,02:39,Zone1,T2,975,87
12/04/2021,02:39,Zone2,T1,503,15
12/04/2021,02:39,Zone2,T2,507,16
12/04/2021,02:40,Zone1,T1,956,84
