Timestamp,Zone,Device,PPM,VOC
"12/03/2021, 16:04:03",Zone1,T1,520,18
"12/03/2021, 16:04:03",Zone1,T2,539,21
"12/03/2021, 16:04:04",Zone2,T1,615,32
"12/03/2021, 16:04:04",Zone2,T2,459,8
"12/03/2021, 16:05:02",Zone1,T1,589,28
"12/03/2021, 16:05:02",Zone1,T2,454,8
"12/03/2021, 16:05:04",Zone2,T1,441,6
"12/03/2021, 16:05:04",Zone2,T2,421,3
"12/03/2021, 16:06:02",Zone1,T1,567,25
"12/03/2021, 16:06:02",Zone1,T2,447,7
"12/03/2021, 16:06:03",Zone2,T1,464,9
"12/03/2021, 16:06:03",Zone2,T2,427,4
"12/03/2021, 16:07:03",Zone1,T1,466,10
"12/03/2021, 16:07:03",Zone1,T2,481,12
"12/03/2021, 16:07:04",Zone2,T1,455,8
"12/03/2021, 16:07:04",Zone2,T2,406,0
"12/03/2021, 16:08:02",Zone1,T1,555,23
"12/03/2021, 16:08:02",Zone1,T2,565,25
"12/03/2021, 16:08:03",Zone2,T1,482,12
"12/03/2021, 16:08:03",Zone2,T2,427,4
