Date,Time,Zone,Device,PPM,VOC
12/21/2021,17:48,Zone1,T1,574,26
12/21/2021,17:48,Zone1,T2,552,23
12/21/2021,17:48,Zone2,T1,617,33
12/21/2021,17:48,Zone2,T2,461,9
12/21/2021,17:48,Zone1,T3,0,0
12/21/2021,17:48,Zone1,T4,0,0
12/21/2021,17:49,Zone1,T1,657,39
12/21/2021,17:49,Zone1,T2,552,23
12/21/2021,17:49,Zone2,T1,602,30
12/21/2021,17:49,Zone2,T2,461,9
12/21/2021,17:49,Zone1,T3,0,0
12/21/2021,17:49,Zone1,T4,0,0
12/21/2021,17:50,Zone1,T1,645,37
12/21/2021,17:50,Zone1,T2,552,23
12/21/2021,17:50,Zone2,T1,561,24
12/21/2021,17:50,Zone2,T2,473,11
12/21/2021,17:50,Zone1,T3,0,0
12/21/2021,17:50,Zone1,T4,0,0
12/21/2021,17:51,Zone1,T1,611,32
12/21/2021,17:51,Zone1,T2,552,23
12/21/2021,17:51,Zone2,T1,567,25
12/21/2021,17:51,Zone2,T2,457,8
12/21/2021,17:51,Zone1,T3,0,0
12/21/2021,17:51,Zone1,T4,0,0
12/21/2021,17:52,Zone1,T1,624,34
12/21/2021,17:52,Zone1,T2,552,23
12/21/2021,17:52,Zone1,T3,0,0
12/21/2021,17:52,Zone1,T4,0,0
12/21/2021,17:53,Zone1,T1,617,33
12/21/2021,17:53,Zone1,T2,552,23
12/21/2021,17:53,Zone2,T1,615,32
12/21/2021,17:53,Zone2,T2,457,8
12/21/2021,17:53,Zone1,T3,0,0
12/21/2021,17:53,Zone1,T4,0,0
12/21/2021,17:54,Zone1,T1,631,35
12/21/2021,17:54,Zone1,T2,552,23
12/21/2021,17:54,Zone2,T1,567,25
12/21/2021,17:54,Zone2,T2,492,14
12/21/2021,17:54,Zone1,T3,0,0
12/21/2021,17:54,Zone1,T4,0,0
12/21/2021,17:55,Zone1,T1,656,39
12/21/2021,17:55,Zone1,T2,552,23
12/21/2021,17:55,Zone2,T1,659,39
12/21/2021,17:55,Zone2,T2,461,9
12/21/2021,17:55,Zone1,T3,0,0
12/21/2021,17:55,Zone1,T4,0,0
12/21/2021,17:56,Zone1,T1,623,33
12/21/2021,17:56,Zone1,T2,552,23
12/21/2021,17:56,Zone2,T1,649,37
12/21/2021,17:56,Zone2,T2,500,15
12/21/2021,17:56,Zone1,T3,0,0
12/21/2021,17:56,Zone1,T4,0,0
12/21/2021,17:58,Zone1,T1,672,41
12/21/2021,17:58,Zone1,T2,552,23
12/21/2021,17:58,Zone2,T1,553,23
12/21/2021,17:58,Zone2,T2,496,14
12/21/2021,17:58,Zone1,T3,0,0
12/21/2021,17:58,Zone1,T4,0,0
12/21/2021,17:59,Zone1,T1,672,41
12/21/2021,17:59,Zone1,T2,552,23
12/21/2021,17:59,Zone2,T1,666,40
12/21/2021,17:59,Zone2,T2,459,8
12/21/2021,18:00,Zone1,T1,643,37
12/21/2021,18:00,Zone1,T2,552,23
12/21/2021,18:00,Zone2,T1,624,34
12/21/2021,18:00,Zone2,T2,507,16
12/21/2021,18:00,Zone1,T3,0,0
12/21/2021,18:00,Zone1,T4,0,0
12/21/2021,18:01,Zone1,T1,611,32
12/21/2021,18:01,Zone1,T2,552,23
12/21/2021,18:01,Zone2,T1,618,33
12/21/2021,18:01,Zone2,T2,461,9
12/21/2021,18:01,Zone1,T3,0,0
12/21/2021,18:01,Zone1,T4,0,0
12/21/2021,18:02,Zone1,T1,640,36
12/21/2021,18:02,Zone1,T2,552,23
12/21/2021,18:02,Zone2,T1,572,26
12/21/2021,18:02,Zone2,T2,500,15
12/21/2021,18:02,Zone1,T3,0,0
12/21/2021,18:02,Zone1,T4,0,0
12/21/2021,18:03,Zone1,T1,656,39
12/21/2021,18:03,Zone1,T2,552,23
12/21/2021,18:03,Zone2,T1,646,37
12/21/2021,18:03,Zone2,T2,464,9
12/21/2021,18:03,Zone1,T3,0,0
12/21/2021,18:03,Zone1,T4,0,0
12/21/2021,18:04,Zone1,T1,668,40
12/21/2021,18:04,Zone1,T2,552,23
12/21/2021,18:04,Zone2,T1,665,40
12/21/2021,18:04,Zone2,T2,526,19
12/21/2021,18:06,Zone1,T1,660,39
12/21/2021,18:06,Zone1,T2,552,23
12/21/2021,18:06,Zone2,T1,572,26
12/21/2021,18:06,Zone2,T2,548,22
12/21/2021,18:07,Zone1,T1,614,32
12/21/2021,18:07,Zone1,T2,552,23
12/21/2021,18:07,Zone2,T1,633,35
12/21/2021,18:07,Zone2,T2,445,6
12/21/2021,18:07,Zone1,T3,0,0
12/21/2021,18:07,Zone1,T4,0,0
12/21/2021,18:08,Zone1,T1,683,43
12/21/2021,18:08,Zone1,T2,552,23
12/21/2021,18:08,Zone2,T1,633,35
12/21/2021,18:08,Zone2,T2,552,23
12/21/2021,18:08,Zone1,T3,0,0
12/21/2021,18:08,Zone1,T4,0,0
12/21/2021,18:09,Zone1,T1,652,38
12/21/2021,18:09,Zone1,T2,552,23
12/21/2021,18:09,Zone2,T1,623,33
12/21/2021,18:09,Zone2,T2,441,6
12/21/2021,18:09,Zone1,T3,0,0
12/21/2021,18:09,Zone1,T4,0,0
12/21/2021,18:10,Zone1,T1,603,30
12/21/2021,18:10,Zone1,T2,552,23
12/21/2021,18:10,Zone2,T1,556,23
12/21/2021,18:10,Zone2,T2,552,23
12/21/2021,18:11,Zone1,T1,656,39
12/21/2021,18:11,Zone1,T2,552,23
12/21/2021,18:11,Zone2,T1,633,35
12/21/2021,18:11,Zone2,T2,434,5
12/21/2021,18:11,Zone1,T3,0,0
12/21/2021,18:11,Zone1,T4,0,0
12/21/2021,18:12,Zone1,T1,624,34
12/21/2021,18:12,Zone1,T2,552,23
12/21/2021,18:13,Zone1,T1,627,34
12/21/2021,18:13,Zone1,T2,552,23
12/21/2021,18:13,Zone2,T1,638,36
12/21/2021,18:13,Zone2,T2,441,6
12/21/2021,18:14,Zone1,T1,656,39
12/21/2021,18:14,Zone1,T2,552,23
12/21/2021,18:14,Zone2,T1,618,33
12/21/2021,18:14,Zone2,T2,557,23
12/21/2021,18:14,Zone1,T3,0,0
12/21/2021,18:14,Zone1,T4,0,0
12/21/2021,18:15,Zone1,T1,645,37
12/21/2021,18:15,Zone1,T2,552,23
12/21/2021,18:15,Zone2,T1,638,36
12/21/2021,18:15,Zone2,T2,441,6
12/21/2021,18:15,Zone1,T3,0,0
12/21/2021,18:15,Zone1,T4,0,0
12/21/2021,18:16,Zone1,T1,603,30
12/21/2021,18:16,Zone1,T2,552,23
12/21/2021,18:16,Zone2,T1,638,36
12/21/2021,18:16,Zone2,T2,549,22
12/21/2021,18:16,Zone1,T3,0,0
12/21/2021,18:16,Zone1,T4,0,0
12/21/2021,18:17,Zone1,T1,633,35
12/21/2021,18:17,Zone1,T2,552,23
12/21/2021,18:17,Zone2,T1,553,23
12/21/2021,18:17,Zone2,T2,448,7
12/21/2021,18:17,Zone1,T3,0,0
12/21/2021,18:17,Zone1,T4,0,0
12/21/2021,18:18,Zone1,T1,640,36
12/21/2021,18:18,Zone1,T2,552,23
12/21/2021,18:18,Zone2,T1,615,32
12/21/2021,18:18,Zone2,T2,563,24
12/21/2021,18:21,Zone1,T1,626,34
12/21/2021,18:21,Zone1,T2,552,23
12/21/2021,18:21,Zone2,T1,539,21
12/21/2021,18:21,Zone2,T2,437,5
12/21/2021,18:21,Zone1,T3,0,0
12/21/2021,18:21,Zone1,T4,0,0
12/21/2021,18:23,Zone1,T1,638,36
12/21/2021,18:23,Zone1,T2,552,23
12/21/2021,18:23,Zone2,T1,611,32
12/21/2021,18:23,Zone2,T2,445,6
12/21/2021,18:23,Zone1,T3,0,0
12/21/2021,18:23,Zone1,T4,0,0
12/21/2021,18:24,Zone1,T1,735,51
12/21/2021,18:24,Zone1,T2,552,23
12/21/2021,18:24,Zone2,T1,618,33
12/21/2021,18:24,Zone2,T2,588,28
12/21/2021,18:24,Zone1,T3,0,0
12/21/2021,18:24,Zone1,T4,0,0
12/21/2021,18:27,Zone1,T1,643,37
12/21/2021,18:27,Zone1,T2,552,23
12/21/2021,18:27,Zone2,T1,633,35
12/21/2021,18:27,Zone2,T2,447,7
12/21/2021,18:27,Zone1,T3,0,0
12/21/2021,18:27,Zone1,T4,0,0
12/21/2021,18:28,Zone1,T1,586,28
12/21/2021,18:28,Zone1,T2,552,23
12/21/2021,18:28,Zone2,T1,631,35
12/21/2021,18:28,Zone2,T2,563,24
12/21/2021,18:28,Zone1,T3,0,0
12/21/2021,18:28,Zone1,T4,0,0
12/21/2021,18:29,Zone1,T1,614,32
12/21/2021,18:29,Zone1,T2,552,23
12/21/2021,18:29,Zone2,T1,588,28
12/21/2021,18:29,Zone2,T2,444,6
12/21/2021,18:29,Zone1,T3,0,0
12/21/2021,18:29,Zone1,T4,0,0
12/21/2021,18:30,Zone1,T1,627,34
12/21/2021,18:30,Zone1,T2,552,23
12/21/2021,18:30,Zone2,T1,602,30
12/21/2021,18:30,Zone2,T2,554,23
12/21/2021,18:30,Zone1,T3,0,0
12/21/2021,18:30,Zone1,T4,0,0
12/21/2021,18:31,Zone1,T1,599,30
12/21/2021,18:31,Zone1,T2,552,23
12/21/2021,18:31,Zone2,T1,641,36
12/21/2021,18:31,Zone2,T2,447,7
12/21/2021,18:31,Zone1,T3,0,0
12/21/2021,18:31,Zone1,T4,0,0
12/21/2021,18:32,Zone1,T1,627,34
12/21/2021,18:32,Zone1,T2,552,23
12/21/2021,18:32,Zone2,T1,645,37
12/21/2021,18:32,Zone2,T2,549,22
12/21/2021,18:32,Zone1,T3,0,0
12/21/2021,18:32,Zone1,T4,0,0
12/21/2021,18:33,Zone1,T1,607,31
