Date,Time,Zone,Device,PPM,VOC
01/10/2022,00:00,Zone1,T1,555,23
01/10/2022,00:00,Zone1,T2,783,58
01/10/2022,00:00,Zone1,T3,617,33
01/10/2022,00:00,Zone1,T4,737,51
01/10/2022,00:00,Zone2,T1,556,23
01/10/2022,00:00,Zone2,T2,400,0
01/10/2022,00:01,Zone1,T1,549,22
01/10/2022,00:01,Zone1,T2,802,61
01/10/2022,00:01,Zone1,T3,588,28
01/10/2022,00:01,Zone1,T4,618,33
01/10/2022,00:01,Zone2,T1,487,13
01/10/2022,00:01,Zone2,T2,400,0
01/10/2022,00:02,Zone1,T1,552,23
01/10/2022,00:02,Zone1,T2,763,55
01/10/2022,00:02,Zone1,T3,569,25
01/10/2022,00:02,Zone1,T4,580,27
01/10/2022,00:02,Zone2,T1,564,24
01/10/2022,00:02,Zone2,T2,400,0
01/10/2022,00:03,Zone1,T1,561,24
01/10/2022,00:03,Zone1,T2,772,56
01/10/2022,00:03,Zone1,T3,611,32
01/10/2022,00:03,Zone1,T4,697,45
01/10/2022,00:03,Zone2,T1,569,25
01/10/2022,00:03,Zone2,T2,400,0
01/10/2022,00:04,Zone1,T1,561,24
01/10/2022,00:04,Zone1,T2,748,53
01/10/2022,00:04,Zone1,T3,574,26
01/10/2022,00:04,Zone1,T4,749,53
01/10/2022,00:04,Zone2,T1,549,22
01/10/2022,00:04,Zone2,T2,400,0
01/10/2022,00:05,Zone1,T1,588,28
01/10/2022,00:05,Zone1,T2,717,48
01/10/2022,00:05,Zone1,T3,624,34
01/10/2022,00:05,Zone1,T4,671,41
01/10/2022,00:05,Zone2,T1,497,14
01/10/2022,00:05,Zone2,T2,400,0
01/10/2022,00:06,Zone1,T3,580,27
01/10/2022,00:06,Zone1,T4,742,52
01/10/2022,00:08,Zone1,T1,531,19
01/10/2022,00:08,Zone1,T2,717,48
01/10/2022,00:08,Zone2,T1,463,9
01/10/2022,00:08,Zone2,T2,400,0
01/10/2022,00:09,Zone1,T1,561,24
01/10/2022,00:09,Zone1,T2,748,53
01/10/2022,00:09,Zone1,T3,594,29
01/10/2022,00:09,Zone1,T4,717,48
01/10/2022,00:09,Zone2,T1,588,28
01/10/2022,00:09,Zone2,T2,400,0
01/10/2022,00:10,Zone1,T1,540,21
01/10/2022,00:10,Zone1,T2,757,54
01/10/2022,00:10,Zone1,T3,592,29
01/10/2022,00:10,Zone1,T4,605,31
01/10/2022,00:10,Zone2,T1,531,19
01/10/2022,00:10,Zone2,T2,400,0
01/10/2022,00:11,Zone1,T3,617,33
01/10/2022,00:11,Zone1,T4,717,48
01/10/2022,00:12,Zone1,T1,574,26
01/10/2022,00:12,Zone1,T2,793,59
01/10/2022,00:12,Zone2,T1,553,23
01/10/2022,00:12,Zone2,T2,400,0
01/10/2022,00:13,Zone1,T1,526,19
01/10/2022,00:13,Zone1,T2,802,61
01/10/2022,00:13,Zone1,T3,580,27
01/10/2022,00:13,Zone1,T4,674,41
01/10/2022,00:13,Zone2,T1,520,18
01/10/2022,00:13,Zone2,T2,400,0
01/10/2022,00:14,Zone1,T1,566,25
01/10/2022,00:14,Zone1,T2,810,62
01/10/2022,00:14,Zone1,T3,620,33
01/10/2022,00:14,Zone1,T4,671,41
01/10/2022,00:14,Zone2,T1,545,22
01/10/2022,00:14,Zone2,T2,400,0
01/10/2022,00:15,Zone1,T1,561,24
01/10/2022,00:15,Zone1,T2,763,55
01/10/2022,00:15,Zone1,T3,575,26
01/10/2022,00:15,Zone1,T4,688,43
01/10/2022,00:15,Zone2,T1,545,22
01/10/2022,00:15,Zone2,T2,400,0
01/10/2022,00:16,Zone1,T1,536,20
01/10/2022,00:16,Zone1,T2,763,55
01/10/2022,00:16,Zone1,T3,605,31
01/10/2022,00:16,Zone1,T4,737,51
01/10/2022,00:16,Zone2,T1,553,23
01/10/2022,00:16,Zone2,T2,400,0
01/10/2022,00:17,Zone1,T1,517,17
01/10/2022,00:17,Zone1,T2,748,53
01/10/2022,00:17,Zone1,T3,588,28
01/10/2022,00:17,Zone1,T4,641,36
01/10/2022,00:17,Zone2,T1,564,24
01/10/2022,00:17,Zone2,T2,400,0
01/10/2022,00:18,Zone1,T1,561,24
01/10/2022,00:18,Zone1,T2,802,61
01/10/2022,00:18,Zone1,T3,611,32
01/10/2022,00:18,Zone1,T4,671,41
01/10/2022,00:18,Zone2,T1,556,23
01/10/2022,00:18,Zone2,T2,400,0
01/10/2022,00:19,Zone1,T1,552,23
01/10/2022,00:19,Zone1,T2,772,56
01/10/2022,00:19,Zone1,T3,617,33
01/10/2022,00:19,Zone1,T4,641,36
01/10/2022,00:19,Zone2,T1,527,19
01/10/2022,00:19,Zone2,T2,400,0
01/10/2022,00:20,Zone1,T1,561,24
01/10/2022,00:20,Zone1,T2,717,48
01/10/2022,00:20,Zone1,T3,588,28
01/10/2022,00:20,Zone1,T4,737,51
01/10/2022,00:20,Zone2,T1,508,16
01/10/2022,00:20,Zone2,T2,400,0
01/10/2022,00:21,Zone1,T1,574,26
01/10/2022,00:21,Zone1,T2,757,54
01/10/2022,00:21,Zone1,T3,580,27
01/10/2022,00:21,Zone1,T4,637,36
01/10/2022,00:21,Zone2,T1,526,19
01/10/2022,00:21,Zone2,T2,400,0
01/10/2022,00:22,Zone1,T3,588,28
01/10/2022,00:22,Zone1,T4,641,36
01/10/2022,00:23,Zone1,T1,536,20
01/10/2022,00:23,Zone1,T2,783,58
01/10/2022,00:23,Zone2,T1,531,19
01/10/2022,00:23,Zone2,T2,400,0
01/10/2022,00:24,Zone1,T1,581,27
01/10/2022,00:24,Zone1,T2,757,54
01/10/2022,00:24,Zone1,T3,564,24
01/10/2022,00:24,Zone1,T4,759,54
01/10/2022,00:24,Zone2,T1,531,19
01/10/2022,00:24,Zone2,T2,400,0
01/10/2022,00:25,Zone1,T1,566,25
01/10/2022,00:25,Zone1,T2,783,58
01/10/2022,00:25,Zone1,T3,605,31
01/10/2022,00:25,Zone1,T4,653,38
01/10/2022,00:25,Zone2,T1,549,22
01/10/2022,00:25,Zone2,T2,400,0
01/10/2022,00:26,Zone1,T1,526,19
01/10/2022,00:26,Zone1,T2,757,54
01/10/2022,00:26,Zone1,T3,588,28
01/10/2022,00:26,Zone1,T4,637,36
01/10/2022,00:26,Zone2,T1,569,25
01/10/2022,00:26,Zone2,T2,400,0
01/10/2022,00:27,Zone1,T3,650,38
01/10/2022,00:27,Zone1,T4,679,42
01/10/2022,00:28,Zone1,T1,561,24
01/10/2022,00:28,Zone1,T2,838,66
01/10/2022,00:28,Zone2,T1,527,19
01/10/2022,00:28,Zone2,T2,400,0
01/10/2022,00:29,Zone1,T1,536,20
01/10/2022,00:29,Zone1,T2,717,48
01/10/2022,00:29,Zone1,T3,569,25
01/10/2022,00:29,Zone1,T4,737,51
01/10/2022,00:29,Zone2,T1,536,20
01/10/2022,00:29,Zone2,T2,400,0
01/10/2022,00:30,Zone1,T1,566,25
01/10/2022,00:30,Zone1,T2,802,61
01/10/2022,00:30,Zone1,T3,588,28
01/10/2022,00:30,Zone1,T4,637,36
01/10/2022,00:30,Zone2,T1,545,22
01/10/2022,00:30,Zone2,T2,400,0
01/10/2022,00:31,Zone1,T1,567,25
01/10/2022,00:31,Zone1,T2,763,55
01/10/2022,00:31,Zone1,T3,569,25
01/10/2022,00:31,Zone1,T4,704,46
01/10/2022,00:31,Zone2,T1,536,20
01/10/2022,00:31,Zone2,T2,400,0
01/10/2022,00:32,Zone1,T1,519,18
01/10/2022,00:32,Zone1,T2,757,54
01/10/2022,00:32,Zone1,T3,624,34
01/10/2022,00:32,Zone1,T4,649,37
01/10/2022,00:32,Zone2,T1,527,19
01/10/2022,00:32,Zone2,T2,400,0
01/10/2022,00:33,Zone1,T1,594,29
01/10/2022,00:33,Zone1,T2,772,56
01/10/2022,00:33,Zone1,T3,574,26
01/10/2022,00:33,Zone1,T4,710,47
01/10/2022,00:33,Zone2,T1,527,19
01/10/2022,00:33,Zone2,T2,400,0
01/10/2022,00:34,Zone1,T1,552,23
01/10/2022,00:34,Zone1,T2,810,62
01/10/2022,00:34,Zone1,T3,629,34
01/10/2022,00:34,Zone1,T4,726,49
01/10/2022,00:34,Zone2,T1,569,25
01/10/2022,00:34,Zone2,T2,400,0
01/10/2022,00:35,Zone1,T3,592,29
01/10/2022,00:35,Zone1,T4,710,47
01/10/2022,00:36,Zone1,T1,567,25
01/10/2022,00:36,Zone1,T2,748,53
01/10/2022,00:36,Zone2,T1,536,20
01/10/2022,00:36,Zone2,T2,400,0
